ID,Job Code,DeptID,Descr,Degree Level,Hrly Rate,FTE,CREDIT_HRS_TOTAL,Fees,Matric,Weekly Rate,Biweekly Rate,Yearly Rate,Degree Level Coded,Min.Hrly.Rate.Diff.Fixed,Min.Yearly.Rate.Adjusted,Min.Hrly.Yearly.Rate.Diff,Zero.If.Below.Min.Yearly.Rate,Prop.Diff.To.Min.Yearly.Rate,Zero.If.LE.1.Percent.Prop
113056,9550,0-2402-000,School Of Music,Doctor of Philosophy,15.764103,0.25,11,,,157.64,315.28,6148,Doctoral,14.3,5577.5,570.5,1,10.20%,1
35714,9181,0-6201-000,College Of Nursing-Dean,Doctor of Philosophy,15.9,0.25,6,,,159,318,6201,Doctoral,14.3,5577.5,623.5,1,11.20%,1
92264,9184,0-6201-000,College Of Nursing-Dean,Doctor of Philosophy,15.9,0.25,9,800.65,7130.88,159,318,6201,Doctoral,14.3,5577.5,623.5,1,11.20%,1
106223,9184,0-6201-000,College Of Nursing-Dean,Doctor of Nursing Practice,15.9,0.25,11,856.93,4045.8,159,318,6201,Doctoral,14.3,5577.5,623.5,1,11.20%,1
110659,9184,0-6201-000,College Of Nursing-Dean,Doctor of Nursing Practice,15.9,0.25,11,,,159,318,6201,Doctoral,14.3,5577.5,623.5,1,11.20%,1
110878,9184,0-6201-000,College Of Nursing-Dean,Doctor of Philosophy,15.9,0.25,9,,,159,318,6201,Doctoral,14.3,5577.5,623.5,1,11.20%,1
112612,9184,0-6201-000,College Of Nursing-Dean,Doctor of Nursing Practice,15.9,0.25,13,,,159,318,6201,Doctoral,14.3,5577.5,623.5,1,11.20%,1
112783,9184,0-6201-000,College Of Nursing-Dean,Doctor of Nursing Practice,15.9,0.25,8,942.8,6330.56,159,318,6201,Doctoral,14.3,5577.5,623.5,1,11.20%,1
99595,9184,0-1715-000,Educational & Psychological,Doctor of Philosophy,15.95,0.25,14,2477.8,22156.96,159.5,319,6220.5,Doctoral,14.3,5577.5,643,1,11.50%,1
109832,9181,0-1715-000,Educational & Psychological,Doctor of Philosophy,15.95,0.25,10,,,159.5,319,6220.5,Doctoral,14.3,5577.5,643,1,11.50%,1
93692,9181,0-6405-000,Community & Family Health,Doctor of Philosophy,16,0.25,10,,,160,320,6240,Doctoral,14.3,5577.5,662.5,1,11.90%,1
93701,9181,0-6416-000,Fla Prevention Research Center,Doctor of Philosophy,16,0.25,9,609.67,3310.2,160,320,6240,Doctoral,14.3,5577.5,662.5,1,11.90%,1
102908,9181,0-6405-000,Community & Family Health,Doctor of Philosophy,16,0.25,9,,,160,320,6240,Doctoral,14.3,5577.5,662.5,1,11.90%,1
105462,9184,0-5820-002,Mental Health Law & Policy/C&G,Doctor of Audiology,16,0.25,15,1131.45,5502,160,320,6240,Doctoral,14.3,5577.5,662.5,1,11.90%,1
106701,9184,0-6403-000,Epidemiology-Biostatistic,Doctor of Philosophy,16,0.25,10,673.3,3678,160,320,6240,Doctoral,14.3,5577.5,662.5,1,11.90%,1
108048,9550,0-6408-000,Department of Global Health,Doctor of Philosophy,16,0.25,9,,,160,320,6240,Doctoral,14.3,5577.5,662.5,1,11.90%,1
111695,9184,0-6402-000,Environmntl & Occup Hlth,Doctor of Philosophy,16,0.25,9,,,160,320,6240,Doctoral,14.3,5577.5,662.5,1,11.90%,1
